DBN,school_year,arts_ed_score,arts_ed_score_label,arts_ed_disciplines
02M198,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
02M212,2020-21,3,3 of 4 disciplines,"Dance, Music, Visual Arts"
02M217,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
02M234,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
02M255,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
02M260,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
02M267,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
02M276,2020-21,2,2 of 4 disciplines,"Music, Visual Arts"
02M281,2020-21,2,2 of 4 disciplines,"Music, Visual Arts"
02M282,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
02M288,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
02M290,2020-21,2,2 of 4 disciplines,"Music, Visual Arts"
02M294,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
02M296,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
02M297,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
02M300,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
02M308,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
02M343,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
02M347,2020-21,3,3 of 4 disciplines,"Dance, Theater, Visual Arts"
02M374,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
02M376,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
02M393,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
02M394,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
02M399,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
02M400,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
02M408,2020-21,4,4 of 4 disciplines,"Dance, Music, Theater, Visual Arts"
